Id_SNVeg,n_total,n_sig,prop_sig,parque,escala,mes,variable
Shrub,528,0,0,aiguestortes,9,8,pr
TempDecF,913,0,0,aiguestortes,9,8,pr
WaterSurf,4420,4,0.09,aiguestortes,9,8,pr
AlpConF,47133,0,0,aiguestortes,9,9,pr
AlpScrGr,91031,0,0,aiguestortes,9,9,pr
Grass,650,0,0,aiguestortes,9,9,pr
HydroRipVeg,599,0,0,aiguestortes,9,9,pr
RipF,223,0,0,aiguestortes,9,9,pr
RockScreeVeg,61732,0,0,aiguestortes,9,9,pr
Shrub,528,0,0,aiguestortes,9,9,pr
TempDecF,913,0,0,aiguestortes,9,9,pr
WaterSurf,4423,0,0,aiguestortes,9,9,pr
AlpConF,47131,0,0,aiguestortes,9,10,pr
AlpScrGr,90476,0,0,aiguestortes,9,10,pr
Grass,650,0,0,aiguestortes,9,10,pr
HydroRipVeg,599,0,0,aiguestortes,9,10,pr
RipF,223,0,0,aiguestortes,9,10,pr
RockScreeVeg,60534,0,0,aiguestortes,9,10,pr
Shrub,528,0,0,aiguestortes,9,10,pr
TempDecF,913,0,0,aiguestortes,9,10,pr
WaterSurf,4420,0,0,aiguestortes,9,10,pr
AlpConF,47073,0,0,aiguestortes,9,11,pr
AlpScrGr,89988,0,0,aiguestortes,9,11,pr
Grass,648,0,0,aiguestortes,9,11,pr
HydroRipVeg,599,0,0,aiguestortes,9,11,pr
RipF,223,0,0,aiguestortes,9,11,pr
RockScreeVeg,59406,0,0,aiguestortes,9,11,pr
Shrub,528,0,0,aiguestortes,9,11,pr
TempDecF,913,0,0,aiguestortes,9,11,pr
WaterSurf,4420,0,0,aiguestortes,9,11,pr
AlpConF,46858,0,0,aiguestortes,9,12,pr
AlpScrGr,89999,0,0,aiguestortes,9,12,pr
Grass,643,0,0,aiguestortes,9,12,pr
HydroRipVeg,599,0,0,aiguestortes,9,12,pr
RipF,223,0,0,aiguestortes,9,12,pr
RockScreeVeg,59577,0,0,aiguestortes,9,12,pr
Shrub,528,0,0,aiguestortes,9,12,pr
TempDecF,904,0,0,aiguestortes,9,12,pr
WaterSurf,4422,0,0,aiguestortes,9,12,pr
AlpConF,47119,0,0,aiguestortes,12,1,pr
AlpScrGr,90179,0,0,aiguestortes,12,1,pr
Grass,649,0,0,aiguestortes,12,1,pr
HydroRipVeg,599,0,0,aiguestortes,12,1,pr
RipF,223,0,0,aiguestortes,12,1,pr
RockScreeVeg,60305,0,0,aiguestortes,12,1,pr
Shrub,528,0,0,aiguestortes,12,1,pr
TempDecF,913,0,0,aiguestortes,12,1,pr
WaterSurf,4432,0,0,aiguestortes,12,1,pr
AlpConF,47129,0,0,aiguestortes,12,2,pr
AlpScrGr,90472,0,0,aiguestortes,12,2,pr
Grass,647,0,0,aiguestortes,12,2,pr
HydroRipVeg,599,0,0,aiguestortes,12,2,pr
RipF,223,0,0,aiguestortes,12,2,pr
RockScreeVeg,60535,0,0,aiguestortes,12,2,pr
Shrub,528,0,0,aiguestortes,12,2,pr
TempDecF,913,0,0,aiguestortes,12,2,pr
WaterSurf,4432,9,0.2,aiguestortes,12,2,pr
AlpConF,47131,2,0,aiguestortes,12,3,pr
AlpScrGr,90046,0,0,aiguestortes,12,3,pr
Grass,650,0,0,aiguestortes,12,3,pr
HydroRipVeg,599,0,0,aiguestortes,12,3,pr
RipF,223,0,0,aiguestortes,12,3,pr
RockScreeVeg,59792,0,0,aiguestortes,12,3,pr
Shrub,528,0,0,aiguestortes,12,3,pr
TempDecF,913,0,0,aiguestortes,12,3,pr
WaterSurf,4426,0,0,aiguestortes,12,3,pr
AlpConF,47129,0,0,aiguestortes,12,4,pr
AlpScrGr,89976,0,0,aiguestortes,12,4,pr
Grass,650,0,0,aiguestortes,12,4,pr
HydroRipVeg,599,0,0,aiguestortes,12,4,pr
RipF,223,0,0,aiguestortes,12,4,pr
RockScreeVeg,59380,0,0,aiguestortes,12,4,pr
Shrub,528,0,0,aiguestortes,12,4,pr
TempDecF,913,0,0,aiguestortes,12,4,pr
WaterSurf,4420,0,0,aiguestortes,12,4,pr
AlpConF,47125,0,0,aiguestortes,12,5,pr
AlpScrGr,89502,0,0,aiguestortes,12,5,pr
Grass,650,0,0,aiguestortes,12,5,pr
HydroRipVeg,599,0,0,aiguestortes,12,5,pr
RipF,223,0,0,aiguestortes,12,5,pr
RockScreeVeg,58338,0,0,aiguestortes,12,5,pr
Shrub,528,0,0,aiguestortes,12,5,pr
TempDecF,913,0,0,aiguestortes,12,5,pr
WaterSurf,4420,0,0,aiguestortes,12,5,pr
AlpConF,47156,0,0,aiguestortes,12,6,pr
AlpScrGr,89985,0,0,aiguestortes,12,6,pr
Grass,650,0,0,aiguestortes,12,6,pr
HydroRipVeg,599,0,0,aiguestortes,12,6,pr
RipF,223,0,0,aiguestortes,12,6,pr
RockScreeVeg,59389,0,0,aiguestortes,12,6,pr
Shrub,528,0,0,aiguestortes,12,6,pr
TempDecF,913,0,0,aiguestortes,12,6,pr
WaterSurf,4420,0,0,aiguestortes,12,6,pr
AlpConF,47156,0,0,aiguestortes,12,7,pr
AlpScrGr,90194,0,0,aiguestortes,12,7,pr
Grass,650,0,0,aiguestortes,12,7,pr
HydroRipVeg,599,0,0,aiguestortes,12,7,pr
RipF,223,0,0,aiguestortes,12,7,pr
RockScreeVeg,59993,0,0,aiguestortes,12,7,pr
Shrub,528,0,0,aiguestortes,12,7,pr
TempDecF,913,0,0,aiguestortes,12,7,pr
WaterSurf,4420,0,0,aiguestortes,12,7,pr
AlpConF,47156,4212,8.93,aiguestortes,12,8,pr
AlpScrGr,90902,10336,11.37,aiguestortes,12,8,pr
Grass,650,119,18.31,aiguestortes,12,8,pr
HydroRipVeg,599,83,13.86,aiguestortes,12,8,pr
RipF,223,13,5.83,aiguestortes,12,8,pr
RockScreeVeg,61591,4362,7.08,aiguestortes,12,8,pr
Shrub,528,89,16.86,aiguestortes,12,8,pr
TempDecF,913,41,4.49,aiguestortes,12,8,pr
WaterSurf,4420,383,8.67,aiguestortes,12,8,pr
AlpConF,47133,0,0,aiguestortes,12,9,pr
AlpScrGr,91031,0,0,aiguestortes,12,9,pr
Grass,650,0,0,aiguestortes,12,9,pr
HydroRipVeg,599,0,0,aiguestortes,12,9,pr
RipF,223,0,0,aiguestortes,12,9,pr
